Data Size,Lightweight Throughput,AES Throughput
8,14159292.035398,6015037.593985
64,16141235.813367,6705081.194343
256,16420782.552919,6202301.635373
1024,12365656.321700,6185816.116951
4096,15761727.017355,6257973.339445
