Data Size,Lightweight Time,AES Time,Lightweight Throughput,AES Throughput,Lightweight Memory,AES Memory
100,0.0024964969977736475,0.0005110730044543743,40056.12668037617,195666.76214244738,1099,1211
1000,0.0226134920027107,1.8980000168085097e-05,44221.38782812178,52687038.521817386,3605,3596
5000,0.1186285559926182,2.4981005117297174e-05,42148.367719414295,200152074.60719565,15173,15164
10000,0.22505868699401618,3.914499655365944e-05,44432.85497469324,255460489.98349336,29717,29708
